tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,7726.95,7293.5,2695.4213,2127.0,1831.0,2023.7654,0.0017,0.0015,0.0015
count,2856.45,1373.0,3811.5029,1077.35,762.5,1898.9872,0.0011,0.0008,0.0014
drop,2300.9,763.0,4624.9817,738.7,214.0,1610.5246,0.0009,0.0006,0.0014
dropna,47256.4,48981.0,12741.8294,5371.0,4852.0,2770.536,0.0037,0.0033,0.0023
fillna,24444.5,20507.5,10694.9536,4309.05,3662.5,2332.0781,0.0031,0.0028,0.0019
groupby,34087.95,29602.0,12190.0944,5810.65,4821.5,2691.0901,0.0042,0.0038,0.0021
isna,18475.3,15869.0,13090.99,3997.8,3357.0,3508.6717,0.0029,0.0023,0.003
load_csv,123318.25,98083.0,121354.1718,13790.65,8636.5,22393.4344,0.0078,0.0039,0.0173
load_json,594007.95,587584.5,49283.16,182329.95,179382.0,7686.8639,0.0906,0.0886,0.0068
max,4193.0,3082.0,3720.2572,1010.15,794.0,805.7833,0.001,0.001,0.0001
mean,6646.65,7507.5,4999.8607,1953.2,2075.0,2085.5626,0.0013,0.0011,0.0014
merge,19677494.75,19318462.5,1678732.9808,2879072.7,2894463.0,109513.2944,0.7448,0.7279,0.0496
min_vals,6094.25,5219.0,5502.6488,1745.5,1892.0,1824.7957,0.0013,0.001,0.0014
replaces,64797.75,53253.5,37620.3933,6872.45,5432.0,6251.3488,0.0047,0.0034,0.0052
save_csv,169753.7,165435.0,21389.1833,22924.7,21942.0,4658.5356,0.0163,0.015,0.0037
save_json,180193.55,178893.5,8710.3758,35342.25,34943.0,2416.3527,0.0234,0.0229,0.0018
sort,39178.6,36163.5,10136.1476,6637.5,5859.5,2144.6562,0.003,0.0027,0.0015
sum,2069.15,641.0,2946.8863,811.7,0.0,1910.9296,0.001,0.0008,0.0015
unique,8520.6,8117.5,5689.8627,2060.0,1892.0,2014.7064,0.0016,0.0013,0.0017
