tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,21388.7,21392.5,2754.9317,6508.4667,6348.0,769.2771,0.0034,0.0034,0.0001
count,96443.4,97076.0,4198.7559,17582.1667,17120.0,1096.9763,0.0134,0.0134,0.0001
drop,17596.2333,15594.0,6291.2812,5387.3333,5249.0,3194.1246,0.0033,0.0029,0.0023
dropna,98622.2,98083.0,2977.7728,18296.2,18310.0,513.8285,0.0145,0.0145,0.0001
fillna,125801.2,125823.5,2734.8783,23270.6,23498.0,543.7366,0.0181,0.0181,0.0001
groupby,1790.3667,946.0,2265.3563,498.5333,183.0,613.3779,0.0007,0.0008,0.0001
isna,9893.8333,10467.5,2871.0106,2384.4,2685.0,542.1637,0.0019,0.002,0.0001
load_csv,331440.4667,330108.0,11019.4066,67152.6667,67382.5,865.6952,0.0411,0.0409,0.0013
load_json,2477186.8333,2462976.0,59229.0836,769976.8333,767881.0,12382.9792,0.3746,0.3719,0.0092
max,1167.8667,0.0,1772.486,286.8333,0.0,455.3259,0.0006,0.0007,0.0001
mean,1692.6667,641.0,2486.3308,850.4,274.5,1561.7268,0.0009,0.0007,0.0012
merge,410010.8333,411162.0,7512.4332,75355.9333,74798.5,2687.0863,0.0557,0.0554,0.0021
min,1544.2,457.5,2129.3866,484.2667,0.0,615.6622,0.0006,0.0007,0.0001
replace,14007.5333,13427.5,2025.3561,3267.4667,2991.0,655.7943,0.0028,0.0029,0.0001
save_csv,592580.7333,586332.5,20819.792,104866.2,104186.5,3406.7044,0.0881,0.087,0.003
save_json,187945.1,187743.5,4626.8429,43151.7333,42419.0,1928.9886,0.027,0.0267,0.0018
sort,40748.9667,40680.0,2252.6922,10082.9667,9826.5,1299.1287,0.0066,0.0064,0.0012
sum,1609.3,1251.5,1752.5213,354.0,91.5,468.2451,0.0008,0.0008,0.0001
unique,13537.6,13366.5,2455.2101,3068.2,2838.0,1490.5759,0.0025,0.0023,0.0012
