tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,116284.0,74585.0,57119.32907908184,28118.9,12878.0,19976.54856436528,0.01706349849700923,0.010696411132812451,0.008401206178439645
count,5537583.5,5508867.0,78777.17625788998,1083493.4,1081235.0,9507.277589065949,0.6390421390533447,0.6370819807052612,0.01149211726784091
drop,20477.1,20568.0,811.4752614836759,4302.8,4303.0,72.03209161354553,0.00336165428161615,0.003413438796997,0.00010804181386038184
dropna,35973.9,25573.5,36532.373218679466,9167.4,5462.5,12875.70785281769,0.00570039749145503,0.00401425361633295,0.005541021030093458
fillna,21514.7,21514.5,2209.711446722802,4455.2,4302.5,517.8903358820284,0.00339028835296626,0.0034058094024658004,0.0003177072160105184
groupby,695.8,0.0,2200.312795945158,354.1,0.0,588.9411308064292,0.0006585359573363601,0.00072729587554925,0.0001270515509843791
isna,5645.8,5798.5,1565.6335458848598,1495.4,1648.0,402.0362614933578,0.00129911899566644,0.0014282464981078499,0.00018374951668787888
load_csv,61364.7,54718.0,23496.411064245538,12176.6,10955.5,4078.4632781368905,0.00739791393280023,0.00652194023132315,0.0028514505392848873
load_json,76656041.6,76917436.0,807805.4818124633,12230187.3,12205107.5,101211.64326307083,10.126801896095277,10.096018314361572,0.09600658536381895
max,2633074.2,2622674.0,66324.41873565281,403893.1,404418.0,11980.85669771203,0.22352418899536128,0.2232449054718017,0.007571205435000489
mean,2679027.5,2712578.0,80922.92390670956,409728.0,407774.5,13687.604359825398,0.22962977886199948,0.2340842485427856,0.008107371334648918
merge,215685.5,212005.5,10486.560639959871,35662.6,34270.5,4440.800758622005,0.03048114776611325,0.0295122861862182,0.003154518330999176
min,2640496.0,2631463.0,54971.77022395721,407451.1,409514.5,13479.741667900498,0.2265407562255859,0.2300230264663696,0.007961018959448913
replace,6121.7,6408.5,2692.735950664305,1586.9,1587.0,633.7169802925524,0.00144031047821041,0.0015102624893188,0.00015610089973839837
save_csv,62223912.8,62032128.5,478831.4118661524,16813592.2,16827715.0,58504.741968873765,8.52917983531952,8.529149532318115,0.04418379521304195
save_json,45090882.0,45103980.0,407975.5152043112,13039767.6,13041989.0,73256.15680488711,6.3098143339157104,6.312516808509827,0.039579632837569725
sort,7790440.1,7786021.0,246873.37002171332,1348879.7,1340725.5,30350.513585440385,0.7224880218505859,0.7092511653900146,0.03233635275700085
sum,2652397.9,2668450.0,65347.928047490466,409606.0,408538.0,14186.267922027815,0.2278555870056152,0.23047792911529535,0.008427584276889763
unique,2769035.7,2782952.0,70668.01289606052,441344.2,434478.0,22565.08559601659,0.2514740943908691,0.2484325170516967,0.01486190684823501
