tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,84696.2,83923.5,4449.7811,21260.5333,21362.5,1173.6318,0.0181,0.0181,0.0009
count,49544923.1667,49437861.5,455445.5749,9798158.0333,9765264.5,105558.044,2.242,2.2342,0.0263
drop,20764.2,19348.0,5034.5649,11584.3333,11352.5,1245.0308,0.0095,0.0093,0.001
dropna,9352.7333,6592.0,8002.7175,3153.4,1709.0,3435.9612,0.0026,0.0015,0.0026
fillna,1505.6,702.0,1697.7165,404.9333,0.0,527.5596,0.0007,0.0008,0.0001
groupby,1558.4333,213.5,2202.5236,657.0667,335.5,682.0203,0.0008,0.0008,0.0001
isna,2268.4667,1862.0,2186.4303,996.8,976.0,657.2421,0.0009,0.001,0.0001
load_csv,118963.2667,120574.5,7136.6538,22231.0,22278.0,930.1751,0.0154,0.0153,0.0003
load_json,469332260.0333,469565936.5,6743830.7557,113614933.3667,113487655.0,621919.4529,69.5612,69.4841,0.4422
max,13682496.7,13666255.0,112907.0179,2380413.8333,2381646.5,20174.505,0.6542,0.6551,0.0123
mean,13565411.3667,13569576.0,106383.263,2364292.4667,2360285.0,16876.8944,0.6445,0.6421,0.0096
merge,211974.4667,211455.5,9166.1349,44980.7667,45166.0,2940.7803,0.0382,0.0379,0.0025
min,13649653.9,13644649.0,122021.2254,2371974.7,2374780.5,20612.6498,0.6492,0.6487,0.0131
replace,2356.0667,2044.5,2289.8864,813.8,610.0,714.7206,0.0009,0.0009,0.0001
save_csv,644486122.7667,644215422.5,9241246.2543,140782869.1333,140825018.0,759627.6602,92.4484,92.5601,0.7409
save_json,-8093059880.6333,642087040.5,47861583639.7915,150620952.2333,150389538.5,1039435.4281,93.9523,93.8408,0.8056
sort,1523.8,732.5,1884.4359,374.4,91.5,527.7027,0.0007,0.0007,0.0001
sum,13447365.4667,13471309.0,75167.5787,2348112.0,2346216.0,9503.9439,0.633,0.6315,0.0048
unique,14334751.4333,14346612.5,114976.9592,2463476.3,2465722.5,18843.0831,0.718,0.718,0.0122
