tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,38009.5,37628.0,4287.4396,8322.15,7934.5,2343.5578,0.0066,0.0062,0.0018
count,5059008.05,5066058.0,55572.2124,1094891.55,1094510.0,9475.3429,0.6348,0.6349,0.0071
drop,5602.9,5432.5,3190.2437,1904.15,1647.5,1673.9596,0.0015,0.0013,0.0015
dropna,4480.0,4913.5,1724.672,1605.35,1648.0,336.0348,0.0012,0.0012,0.0001
fillna,765.95,0.0,1538.2043,518.8,91.5,679.7375,0.0008,0.0008,0.0001
groupby,976.55,0.0,1591.5957,271.7,0.0,523.0858,0.0007,0.0008,0.0001
isna,3225.55,4577.5,2559.5492,1235.9,1586.5,678.7668,0.0009,0.001,0.0001
load_csv,10064.7,0.0,38038.2655,1998.9,0.0,7299.6106,0.0015,0.0004,0.0049
load_json,61112236.65,61045406.5,661621.6367,11118294.25,11097353.0,93109.5179,8.9928,8.9707,0.0885
max,2462277.1,2463586.0,32505.7696,405064.85,404418.0,4699.887,0.2259,0.226,0.003
mean,2487838.65,2484491.0,35109.1592,414366.55,414335.5,4803.2553,0.2304,0.2299,0.0034
merge,54668.95,53253.0,7278.8145,11242.55,10315.0,3818.0395,0.0093,0.0086,0.0032
min,2469164.7,2472559.0,29368.0844,407317.0,406127.0,10004.564,0.2275,0.2262,0.006
replace,2529.9,1404.0,2378.1601,927.7,1068.0,699.5236,0.0009,0.001,0.0001
save_csv,72063707.1,72111418.0,739707.9917,13225536.8,13227169.5,94620.6669,10.5881,10.5979,0.085
save_json,67844000.7,67913858.0,1181150.1243,12812488.6,12827970.0,109337.3145,9.974,9.9916,0.0995
sort,674.4,0.0,1350.7745,195.3,0.0,384.7413,0.0007,0.0007,0.0001
sum,2479812.4,2476159.5,30370.6063,410280.25,409941.5,5083.5812,0.2286,0.228,0.0034
unique,2668169.4,2667351.5,35465.9763,453831.95,452819.0,7743.7323,0.2607,0.2596,0.0051
