tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,7495.0667,6164.5,5105.827,2241.9,1587.0,2078.5959,0.0021,0.0018,0.0017
count,89509.9333,51392.0,179334.2517,23118.0,7141.5,76153.2435,0.0111,0.0053,0.0281
drop,4475.8333,5493.0,2210.7158,1330.5333,1495.5,569.2597,0.0012,0.0012,0.0001
dropna,54188.9333,53527.5,2919.5578,10286.3333,9948.0,1713.1072,0.0089,0.0087,0.0013
fillna,124975.1667,107849.0,35779.6957,26308.1333,17731.0,17287.4053,0.0184,0.0154,0.006
groupby,149704.6333,140716.0,32625.3369,42972.7333,40191.5,11492.7074,0.0219,0.0211,0.0044
isna,10266.1667,5035.5,23190.1892,3898.1333,1373.0,10858.1052,0.002,0.0011,0.0037
load_csv,339067.6333,341094.0,19518.9603,70965.3667,70678.0,1937.1281,0.046,0.0461,0.002
load_json,2848245.0667,2864616.5,125417.4562,911028.7,928190.5,32812.6513,0.4431,0.4508,0.017
max,39255.7,38452.0,4855.324,6943.8333,6714.0,1001.3103,0.0054,0.0053,0.0006
mean,57702.4,46416.5,32108.5239,13348.3667,7996.0,14581.5414,0.0086,0.0067,0.0052
merge,35369.7,26886.0,27184.5552,9401.3,5066.0,13681.1255,0.006,0.0044,0.0052
min,41237.2667,37811.5,19054.6591,8416.7333,6653.0,8765.4231,0.006,0.0053,0.0033
replace,4604.0333,5523.5,2015.2263,1222.6,1495.0,490.7765,0.0011,0.0011,0.0001
save_csv,1780634.9333,1814387.0,79976.6423,522313.1667,543974.5,40236.3899,0.2879,0.2925,0.0143
save_json,1572762.0333,1594844.5,69006.7066,485590.2,498930.5,30428.4219,0.248,0.2509,0.0118
sort,22967.5,12512.0,29827.1997,8136.0667,3174.0,13953.4667,0.0043,0.0024,0.0051
sum,44693.9333,38330.0,25148.9598,9787.9667,6653.0,11808.3826,0.0065,0.0053,0.0042
unique,113258.6333,109588.5,15340.3793,26881.9333,26611.0,2889.5164,0.0106,0.0103,0.0018
