tag,pkg_mean,pkg_median,pkg_std,dram_mean,dram_median,dram_std,duration_mean,duration_median,duration_std
concat_dataframes,82364.8,81482.0,4223.1157,21091.5667,20782.0,798.0114,0.0178,0.0176,0.0005
count,49210919.3333,49175533.5,537456.8272,9793576.2333,9808599.5,124735.6139,2.2403,2.2459,0.0257
drop,19968.5667,21057.0,3858.5377,11254.8,10986.0,1661.7039,0.0093,0.009,0.0012
dropna,7234.6,5889.5,4497.424,2872.7333,1709.0,3030.4236,0.0023,0.0015,0.0023
fillna,606.2333,0.0,1150.3162,297.0667,0.0,514.155,0.0007,0.0008,0.0001
groupby,1676.4,0.0,2056.8735,590.0333,335.5,686.8582,0.0007,0.0008,0.0001
isna,2834.0667,2624.5,2265.9482,964.3,1128.5,657.2765,0.0009,0.001,0.0001
load_csv,112747.9,113067.5,10809.4474,22108.8333,22033.5,948.0517,0.0155,0.0154,0.0004
load_json,461002642.7667,454279477.0,23818475.584,113526129.3667,113492446.5,783176.0337,69.4227,69.4653,0.4156
max,13572125.1,13579463.5,107975.8099,2383642.6333,2384576.0,20496.2109,0.654,0.6531,0.0118
mean,13467397.0333,13457882.0,89906.1329,2361071.8,2356683.5,17098.5591,0.6415,0.6394,0.0091
merge,205525.1333,204101.0,7845.7911,44575.7333,43609.5,3448.3147,0.0381,0.0377,0.0028
min,13543933.0,13518367.5,118781.5393,2374566.6,2375665.0,22876.6062,0.6489,0.6492,0.0135
replace,1759.7667,335.5,2304.5236,895.1667,915.5,686.7184,0.0009,0.0009,0.0001
save_csv,639999979.0,628551796.5,50319957.6404,140983794.3333,140644812.0,1481833.4377,92.5168,92.5487,0.6497
save_json,629455049.6667,629415014.5,9729765.1247,150351462.3667,150079236.0,880091.2031,93.881,93.7002,0.7138
sort,1074.1667,0.0,1607.1267,246.1667,0.0,452.9591,0.0006,0.0007,0.0001
sum,13330105.0333,13319119.0,106945.5538,2348012.4333,2345026.0,15786.3455,0.632,0.6307,0.0081
unique,14233364.1,14229517.0,134611.491,2467183.2333,2469537.0,26641.4363,0.7196,0.7214,0.0147
